[29/1/2025 9:21:10] Error: Cannot open file with an empty path ! (File: FontManager::Load | Line: 57)
[29/1/2025 9:21:10] Error: Cannot open file with the following path : 'Assets/Fonts/.otf' ! (File: FontManager::LoadFont | Line: 29)
[29/1/2025 9:21:10] Error: Cannot open file with an empty path ! (File: TextureManager::Load | Line: 58)
[29/1/2025 9:21:10] Error: Cannot open file with the following path : 'Assets/Textures/.png' ! (File: TextureManager::LoadTexture | Line: 28)
[29/1/2025 9:21:10] Error: Cannot open file with an empty path ! (File: TextureManager::Load | Line: 58)
[29/1/2025 9:21:10] Error: Cannot open file with the following path : 'Assets/Textures/.png' ! (File: TextureManager::LoadTexture | Line: 28)
[29/1/2025 9:21:13] Warning: X: 162.189499 Y: -698.013794 (File: Ball::ApplyBounce | Line: 68)
[29/1/2025 9:21:13] Warning: X: -131.156265 Y: -177.727631 (File: Ball::ApplyBounce | Line: 68)
[29/1/2025 9:21:15] Warning: X: -104.883759 Y: -585.692627 (File: Ball::ApplyBounce | Line: 68)
[29/1/2025 9:21:16] Warning: X: -83.204475 Y: -497.063934 (File: Ball::ApplyBounce | Line: 68)
[29/1/2025 9:21:17] Warning: X: -66.918465 Y: -421.996063 (File: Ball::ApplyBounce | Line: 68)
[29/1/2025 9:21:18] Warning: X: -53.686501 Y: -358.371979 (File: Ball::ApplyBounce | Line: 68)
[29/1/2025 9:21:19] Warning: X: -43.295116 Y: -304.105255 (File: Ball::ApplyBounce | Line: 68)
[29/1/2025 9:21:20] Warning: X: -34.713116 Y: -258.122375 (File: Ball::ApplyBounce | Line: 68)
[29/1/2025 9:21:21] Warning: X: -27.780928 Y: -218.939499 (File: Ball::ApplyBounce | Line: 68)
[29/1/2025 9:21:21] Warning: X: -22.342068 Y: -185.440521 (File: Ball::ApplyBounce | Line: 68)
[29/1/2025 9:21:22] Warning: X: -18.031891 Y: -156.869766 (File: Ball::ApplyBounce | Line: 68)
[29/1/2025 9:21:22] Warning: X: -14.420383 Y: -132.877960 (File: Ball::ApplyBounce | Line: 68)
[29/1/2025 9:21:23] Warning: X: -11.563445 Y: -112.064484 (File: Ball::ApplyBounce | Line: 68)
[29/1/2025 9:21:23] Warning: X: -9.198425 Y: -94.577972 (File: Ball::ApplyBounce | Line: 68)
[29/1/2025 9:21:23] Warning: X: -7.390877 Y: -79.009987 (File: Ball::ApplyBounce | Line: 68)
[29/1/2025 9:21:23] Warning: X: -5.976078 Y: 66.145065 (File: Ball::ApplyBounce | Line: 68)
[29/1/2025 9:21:23] Warning: X: -4.586995 Y: -57.349037 (File: Ball::ApplyBounce | Line: 68)
[29/1/2025 9:21:23] Warning: X: -3.915194 Y: 47.704029 (File: Ball::ApplyBounce | Line: 68)
[29/1/2025 9:21:23] Warning: X: -2.839310 Y: -41.584164 (File: Ball::ApplyBounce | Line: 68)
[29/1/2025 9:21:23] Warning: X: -2.564867 Y: 33.894714 (File: Ball::ApplyBounce | Line: 68)
[29/1/2025 9:21:23] Warning: X: -1.735433 Y: -30.056831 (File: Ball::ApplyBounce | Line: 68)
[29/1/2025 9:21:23] Warning: X: -1.683522 Y: 23.924501 (File: Ball::ApplyBounce | Line: 68)
[29/1/2025 9:21:23] Warning: X: -1.047754 Y: -21.483221 (File: Ball::ApplyBounce | Line: 68)
[29/1/2025 9:21:23] Warning: X: -1.112094 Y: 16.951591 (File: Ball::ApplyBounce | Line: 68)
[29/1/2025 9:21:23] Warning: X: 0.000000 Y: -15.872391 (File: Ball::ApplyBounce | Line: 68)
[29/1/2025 9:21:23] Warning: X: 0.000000 Y: 9.927321 (File: Ball::ApplyBounce | Line: 68)
[29/1/2025 9:21:23] Warning: X: 0.000000 Y: -9.587181 (File: Ball::ApplyBounce | Line: 68)
[29/1/2025 9:21:23] Warning: X: 0.000000 Y: 6.950326 (File: Ball::ApplyBounce | Line: 68)
[29/1/2025 9:21:23] Warning: X: 0.000000 Y: -7.470095 (File: Ball::ApplyBounce | Line: 68)
[29/1/2025 9:21:23] Warning: X: 0.000000 Y: 4.604648 (File: Ball::ApplyBounce | Line: 68)
[29/1/2025 9:21:23] Warning: X: 0.000000 Y: -5.254319 (File: Ball::ApplyBounce | Line: 68)
[29/1/2025 9:21:23] Warning: X: 0.000000 Y: 3.321708 (File: Ball::ApplyBounce | Line: 68)
[29/1/2025 9:21:23] Warning: X: 0.000000 Y: -3.998444 (File: Ball::ApplyBounce | Line: 68)
[29/1/2025 9:21:23] Warning: X: 0.000000 Y: 2.298457 (File: Ball::ApplyBounce | Line: 68)
[29/1/2025 9:21:23] Warning: X: 0.000000 Y: -3.212056 (File: Ball::ApplyBounce | Line: 68)
[29/1/2025 9:21:23] Warning: X: 0.000000 Y: 1.559565 (File: Ball::ApplyBounce | Line: 68)
[29/1/2025 9:21:23] Warning: X: 0.000000 Y: -2.668014 (File: Ball::ApplyBounce | Line: 68)
